,BlackCommon,Date,BlackUncommon,BlackRare,BlueCommon,BlueUncommon,BlueRare,RedCommon,RedUncommon,RedRare,GreenCommon,GreenUncommon,GreenRare,ItemCommon,ItemUncommon,ItemRare
153,203,2018-11-28 20:00:00,458,3258,175,444,8940,180,533,8883,174,500,9335,147,1683,5664
237,187,2018-11-28 21:00:00,355,2621,155,342,8370,157,400,8111,146,394,7297,156,1365,4014
446,161,2018-11-28 22:00:00,283,1788,138,276,5512,131,345,6233,129,303,5214,144,903,2826
382,174,2018-11-28 23:00:00,356,2264,140,346,4330,139,411,4377,141,364,4142,156,837,2520
80,190,2018-11-29 00:00:00,447,2765,147,401,5562,139,461,5181,142,405,4698,132,1065,3297
82,163,2018-11-29 01:00:00,444,2532,139,343,5745,137,432,5034,138,320,4683,129,1029,3336
99,158,2018-11-29 02:00:00,459,2422,137,331,6108,135,449,5045,135,353,4708,126,993,3414
113,178,2018-11-29 03:00:00,511,2625,143,373,6828,136,523,5699,138,379,5127,126,1083,3609
59,169,2018-11-29 04:00:00,535,2536,139,319,6171,137,546,5766,134,361,5062,126,1077,3531
430,170,2018-11-29 05:00:00,603,2587,141,365,6207,135,522,5646,133,352,5060,129,1167,3804
132,174,2018-11-29 06:00:00,577,2680,147,366,6043,140,542,5629,134,353,4943,126,1194,3792
243,178,2018-11-29 07:00:00,541,2468,142,338,5734,139,527,5533,133,324,4690,126,1212,3480
182,172,2018-11-29 08:00:00,558,2578,143,352,5876,139,525,5446,138,327,4855,126,1188,3459
348,171,2018-11-29 09:00:00,540,2450,142,325,5659,139,574,5417,137,320,4806,126,1263,3354
130,176,2018-11-29 10:00:00,504,2454,140,306,5786,139,608,5617,136,327,5016,126,1227,3354
283,174,2018-11-29 11:00:00,510,2450,139,309,5642,140,659,5758,137,316,5147,126,1188,3426
174,169,2018-11-29 12:00:00,510,2463,135,308,5627,139,592,5691,135,315,5069,126,1191,3423
55,171,2018-11-29 13:00:00,496,2467,134,324,5580,139,616,5463,134,309,4973,126,1152,3606
321,176,2018-11-29 14:00:00,468,2245,137,314,5389,140,586,5193,140,302,4628,126,1107,3261
374,177,2018-11-29 15:00:00,479,2290,136,323,5217,140,624,5184,139,298,4597,126,1131,3150
20,181,2018-11-29 16:00:00,492,2329,137,322,5370,142,644,5397,134,303,4611,126,1215,3258
450,182,2018-11-29 17:00:00,517,2302,136,343,5451,140,651,5363,138,338,4770,126,1215,3225
